category,sub_category,title,description,price,image_url
Máy tính xách tay,Acer,Acer Aspire 3 A315 59 38PG i3 1215U (NX.K6TSV.00A),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i3, 1215U, 1.2GHz | Card: Intel UHD | Pin: 3-cell, 40Wh | Khối lượng: 1.7 kg",9.690.000,https://cdn.tgdd.vn/Products/Images/44/302485/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i5, 13420H, 2.1GHz | Card: RTX 4050 6GB | Pin: 4-cell, 57Wh | Khối lượng: 2.1 kg",25.990.000,https://cdn.tgdd.vn/Products/Images/44/325697/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1235U, 1.3GHz | Card: Intel UHD | Pin: 3-cell, 40Wh | Khối lượng: 1.7 kg",12.990.000,https://cdn.tgdd.vn/Products/Images/44/304543/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),"Màn hình: 14"", Full HD+ | CPU: Ryzen 7, 5700U, 1.8GHz | Card: Radeon | Pin: 3-cell, 50Wh | Khối lượng: 1.4 kg",12.290.000,https://cdn.tgdd.vn/Products/Images/44/322222/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Gaming Nitro V ANV15 51 53NE i5 13420H (NH.QNASV.002),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i5, 13420H, 2.1GHz | Card: RTX 2050 4GB | Pin: 4-cell, 57Wh | Khối lượng: 2.1 kg",20.990.000,https://cdn.tgdd.vn/Products/Images/44/319657/acer-nitro-v-anv15-51-53ne-i5-nhqnasv002-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Gaming Nitro 5 AN515 57 5669 i5 11400H (NH.QEHSV.001),"Màn hình: 15.6"", Full HD/Full HD+, 144Hz | CPU: i5, 11400H, 2.7GHz | Card: GTX 1650 4GB | Pin: 57 Wh Li-ion | Khối lượng: 2.2 kg",15.790.000,https://cdn.tgdd.vn/Products/Images/44/263983/acer-nitro-5-gaming-an515-57-5669-i5-11400h-8gb-512gb-144hz-4gb-gtx1650-win11-nhqehsv001-031221-100506-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007),"Màn hình: 14"", Full HD/Full HD+ | CPU: i5, 1135G7, 2.4GHz | Card: Intel Iris Xe | Pin: 48Wh | Khối lượng: 1.46 kg",13.490.000,https://cdn.tgdd.vn/Products/Images/44/271044/acer-aspire-a514-54-5127-i5-nxa28sv007-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 13420H, 2.1GHz | Card: Intel UHD | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",15.590.000,https://cdn.tgdd.vn/Products/Images/44/323587/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A315 58 54XF i5 1135G7 (NX.AM0SV.007),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1135G7, 2.4GHz | Card: Intel Iris Xe | Pin: 2-cell, 36.7Wh | Khối lượng: 1.7 kg",11.490.000,https://cdn.tgdd.vn/Products/Images/44/285764/acer-aspire-3-a315-58-54xf-i5-nxam0sv007-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i3, 1315U, 1.2GHz | Card: Intel UHD | Pin: 3-cell, 50Wh | Khối lượng: 1.7 kg",10.790.000,https://cdn.tgdd.vn/Products/Images/44/307185/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003-thumb-600x600.png
Máy tính xách tay,Acer,Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004),"Màn hình: 14"", Full HD+ | CPU: i5, 1335U, 1.3GHz | Card: Intel Iris Xe | Pin: 3-cell, 50Wh | Khối lượng: 1.5 kg",13.990.000,https://cdn.tgdd.vn/Products/Images/44/322003/acer-aspire-5-a514-56p-54tn-i5-nxkhrsv004-thumb-1-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A315 58 589K i5 1135G7 (NX.AM0SV.008),"Màn hình: 15.6"", Full HD/Full HD+ | CPU: i5, 1135G7, 2.4GHz | Card: Intel Iris Xe | Pin: 2-cell, 36.7Wh | Khối lượng: 1.7 kg",10.990.000,https://cdn.tgdd.vn/Products/Images/44/305600/acer-aspire-3-a315-58-589k-i5-nxam0sv008-thumb-600x600.jpg
Máy tính xách tay,Acer,Acer Aspire 3 A314 35 P3G9 N6000 (NX.A7SSV.007),"Màn hình: 14"", HD | CPU: Pentium, N6000, 1.1GHz | Card: Intel UHD | Pin: 36Wh | Khối lượng: 1.45 kg",6.990.000,https://cdn.tgdd.vn/Products/Images/44/274136/acer-aspire-3-a314-35-p3g9-n6000-4gb-256gb-090322-050700-600x600.jpg
Máy tính xách tay,Macbook,MacBook Air 13 inch M1,"Màn hình: 13.3"", Retina | CPU: Apple M1 | Card: 7 nhân GPU | Pin: Lên đến 18 giờ | Khối lượng: 1.29 kg",18.190.000,https://cdn.tgdd.vn/Products/Images/44/231244/macbook-air-m1-2020-gray-600x600.jpg
Máy tính xách tay,Macbook,MacBook Air 13 inch M2 2022 8-core CPU,"Màn hình: 13.6"", Retina | CPU: Apple M2, 100GB/s | Card: 8 nhân GPU | Pin: Lên đến 18 giờ | Khối lượng: 1.24 kg",24.090.000,https://cdn.tgdd.vn/Products/Images/44/282827/apple-macbook-air-m2-2022-xanh-600x600.jpg
Máy tính xách tay,Macbook,MacBook Air 15 inch M2 Sạc 35W,"Màn hình: 15.3"", Retina | CPU: Apple M2, 100GB/s | Card: 10 nhân GPU | Pin: Lên đến 18 giờ | Khối lượng: 1.51 kg",27.590.000,https://cdn.tgdd.vn/Products/Images/44/309016/apple-macbook-air-15-inch-m2-2023-gray-thumb-600x600.jpg
Máy tính xách tay,Macbook,MacBook Pro 14 inch M3,"Màn hình: 14.2"", 4K, 120Hz | CPU: Apple M3, 100GB/s | Card: 10 nhân GPU | Pin: Lên đến 22 giờ | Khối lượng: 1.55 kg",38.490.000,https://cdn.tgdd.vn/Products/Images/44/318228/macbook-pro-14-inch-m3-2023-311023-095050-600x600.jpg
Máy tính xách tay,Macbook,MacBook Air 15 inch M2,"Màn hình: 15.3"", Retina | CPU: Apple M2, 100GB/s | Card: 10 nhân GPU | Pin: Lên đến 18 giờ | Khối lượng: 1.51 kg",35.990.000,https://cdn.tgdd.vn/Products/Images/44/309018/apple-macbook-air-15-inch-m2-2023-midnight-thumb-600x600.jpg
Máy tính xách tay,Macbook,MacBook Air 13 inch M2 10GPU,"Màn hình: 13.6"", Retina | CPU: Apple M2, 100GB/s | Card: 10 nhân GPU | Pin: Lên đến 18 giờ | Khối lượng: 1.24 kg",33.990.000,https://cdn.tgdd.vn/Products/Images/44/289441/apple-macbook-air-m2-2022-16gb-600x600.jpg
Máy tính xách tay,Macbook,MacBook Pro 16 inch M3 Max,"Màn hình: 16.2"", 4K, 120Hz | CPU: Apple M3 Max, 300 GB/s memory bandwidth | Card: 30 nhân GPU | Pin: Lên đến 22 giờ | Khối lượng: 2.16 kg",87.990.000,https://cdn.tgdd.vn/Products/Images/44/318236/apple-macbook-pro-16-inch-m3-max-2023-14-core-311023-034030-600x600.jpg
